relation,gold_mean,gold_count
"measurement_unit.measurement_system.force_units",6.6799,10
"measurement_unit.unit_of_resistivity.measurement_system",6.6580,5
"measurement_unit.measurement_system.force_moment_units",6.6544,5
"food.ingredient.more_general_ingredient",6.6031,2
"astronomy.astronomical_survey_project_organization.observatory",6.5962,2
"measurement_unit.measurement_system.magnetic_field_strength_units",6.5947,18
"measurement_unit.measurement_system.solid_angle_units",6.5754,6
"measurement_unit.measurement_system.current_units",6.5539,5
"cvg.computer_videogame.influenced_by",6.5340,17
"medicine.medical_treatment.trials",6.4923,1
"wine.wine_sub_region.wines",6.4803,16
"measurement_unit.measurement_system.catalytic_concentration_units",6.4476,7
"sports.sport.officials",6.4156,1
"measurement_unit.measurement_system.resistivity_units",6.4031,6
"law.invention.patents",6.4014,1
"food.diet.recipes",6.3943,1
"amusement_parks.ride.duration",6.3794,2
"food.ingredient.dishes",6.3778,1
"spaceflight.rocket_engine_designer.rocket_engines",6.3741,1
"medicine.medical_specialty.hospitals_with_this_specialty",6.3713,1
"meteorology.tropical_cyclone_category.Beaufort_scale",6.3643,1
"cvg.computer_game_engine.used_for_computer_games",6.3499,14
"government.government_office_or_title.category",6.3494,1
"medicine.symptom.includes_symptoms",6.3232,1
"measurement_unit.measurement_system.resistance_units",6.3161,8
"business.company_product_relationship.company",6.3098,1
"exhibitions.exhibition_curator.exhibitions_curated",6.2563,16
"measurement_unit.measurement_system.specific_energy_units",6.2438,6
"book.reviewed_work.reviews_of_this_work",6.1925,1
"meteorology.tropical_cyclone.category",6.1686,2
"computer.operating_system.release_date",6.1541,2
"music.release_component.package",6.1454,1
"sports.mascot.team",6.1386,2
"computer.computer_peripheral_class.products",6.1213,1
"broadcast.radio_station.format",6.1109,3
"automotive.model.model_years",6.0929,1
"military.military_resource.conflicts",6.0878,2
"cvg.cvg_platform.games_on_this_platform",6.0536,16
"measurement_unit.measurement_system.luminous_flux_units",6.0525,14
"book.series_editor.book_edition_series_edited",6.0448,2
"comic_books.comic_book_character.created_by",6.0385,1
"time.day_of_year.month",5.9798,1
"measurement_unit.measurement_system.data_rate_units",5.9603,6
"measurement_unit.measurement_system.substance_units",5.9306,5
"measurement_unit.measurement_system.permittivity_units",5.9285,6
"cvg.computer_videogame.subjects",5.9208,16
"astronomy.asteroid.member_of_asteroid_group",5.9078,1
"visual_art.visual_art_support.artworks",5.8823,2
"biology.hybrid_parentage.hybrid",5.8738,1
"olympics.olympic_games.sports",5.8315,1
"fictional_universe.fictional_setting.universe",5.8098,3
"medicine.condition_prevention_factors.conditions_this_may_prevent",5.8077,1
"measurement_unit.unit_of_data_transmission_rate.measurement_system",5.7558,6
"measurement_unit.unit_of_density.measurement_system",5.7550,5
"measurement_unit.measurement_system.current_density_units",5.7493,12
"measurement_unit.measurement_system.absorbed_dose_rate_units",5.7411,15
"broadcast.radio_station.owner",5.7333,1
"tennis.tennis_player.handed",5.7275,1
"periodicals.newspaper_circulation_area.newspapers",5.7070,1
"cvg.cvg_genre.games",5.7021,16
"measurement_unit.measurement_system.permeability_units",5.6921,5
"business.consumer_product.themes",5.6127,1
"measurement_unit.area_unit.measurement_system",5.6116,14
"cvg.computer_game_distribution_system.platforms_supported",5.5935,38
"cvg.computer_game_content_descriptor.rating_system",5.5630,5
"measurement_unit.measurement_system.volumetric_flow_rate_units",5.5439,13
"measurement_unit.absorbed_dose_rate_unit.measurement_system",5.4929,5
"cvg.computer_videogame.designers",5.4765,16
"measurement_unit.measurement_system.exposure_units",5.4019,10
"medicine.disease_cause.diseases",5.3821,1
"measurement_unit.measurement_system.specific_volume_units",5.3819,13
"tv.tv_series_season.rating",5.3758,4
"business.company_type.companies_of_this_type",5.3732,6
"measurement_unit.measurement_system.wavenumber_units",5.3575,6
"measurement_unit.potential_unit.measurement_system",5.3536,5
"book.book_edition.language",5.3097,3
"book.short_non_fiction_variety.works",5.2968,1
"rail.locomotive_builder.locomotive_classes_built",5.2348,28
"education.field_of_study.students_majoring",5.2076,2
"education.education.minor",5.1893,1
"dining.cuisine.region_of_origin",5.1867,1
"education.school_newspaper.school",5.1458,3
"measurement_unit.measurement_system.heat_capacity_units",5.1448,16
"meteorology.tropical_cyclone.affected_areas",5.1430,2
"comic_books.comic_book_series.issues",5.1258,1
"measurement_unit.measurement_system.volume_units",5.1179,8
"measurement_unit.capacitance_unit.measurement_system",5.0901,6
"measurement_unit.measurement_system.absorbed_dose_units",5.0663,7
"zoos.zoo_exhibit.species",5.0282,1
"measurement_unit.measurement_system.density_units",4.9926,6
"measurement_unit.measurement_system.molar_heat_capacity_units",4.9795,4
"measurement_unit.measurement_system.potential_units",4.9156,5
"biology.cytogenetic_band.locus",4.9088,2
"measurement_unit.measurement_system.capacitance_units",4.8961,8
"measurement_unit.volume_unit.measurement_system",4.8935,6
"time.recurring_event.current_frequency",4.8503,8
"architecture.building.floors",4.7798,3
"tv.tv_program.episodes",4.7671,1
"aviation.airport.operator",4.7516,1
"measurement_unit.measurement_system.luminous_intensity_units",4.7355,6
"measurement_unit.measurement_system.surface_tension_units",4.7193,5
"time.holiday_period.holidays",4.7003,1
"medicine.drug.legal_status",4.6582,1
"measurement_unit.magnetic_flux_density_unit.measurement_system",4.6576,5
"music.featured_artist.recordings",4.6452,14
"measurement_unit.measurement_system.magnetic_flux_units",4.5607,6
"soccer.football_league_system.leagues",4.5318,1
"music.recording.song",4.5022,2
"fictional_universe.fictional_setting.fictional_characters_born_here",4.4596,1
"astronomy.astronomical_observatory.discoveries",4.4308,1
"computer.software.license",4.4299,3
"measurement_unit.measurement_system.viscosity_units",4.3805,6
"biology.animal_ownership.owners",4.3695,1
"media_common.quotation.author",4.3292,2
"computer.file_format.genre",4.2600,18
"measurement_unit.catalytic_activity_unit.measurement_system",4.2356,5
"fictional_universe.fictional_universe.species",4.2340,16
"measurement_unit.measurement_system.inverse_temperature_units",4.2185,6
"fictional_universe.fictional_universe.locations",4.1864,1
"media_common.quotation.subjects",4.1555,4
"measurement_unit.measurement_system.irradiance_units",4.1245,15
"cvg.cvg_publisher.games_published",4.0889,38
"cvg.computer_videogame.developer",4.0883,16
"measurement_unit.measurement_system.angle_units",4.0593,6
"freebase.user_profile.favorite_films",4.0518,2
"comic_books.comic_book_character.story_specific_appearances",4.0381,16
"computer.file_format_genre.file_formats",4.0306,18
"visual_art.art_series.artworks",4.0165,1
"boats.ship.means_of_propulsion",4.0097,1
"internet.api.site",3.9552,3
"radio.radio_subject.episodes_with_this_subject",3.9460,19
"measurement_unit.measurement_system.radiant_intensity_units",3.9445,6
"government.government_service.providing_agency",3.9434,2
"broadcast.tv_station.owner",3.8463,1
"education.student_radio_station.school",3.8039,1
"measurement_unit.measurement_system.inductance_units",3.7965,7
"radio.radio_program_episode.program",3.6651,17
"cvg.computer_game_compilation.games_included",3.6572,16
"visual_art.visual_art_medium.artworks",3.6243,1
"cvg.game_version.distributed_through",3.5306,46
"tv.tv_program.soundtrack",3.5207,2
"astronomy.celestial_object.magnitude",3.5104,1
"tv.tv_program.filming_locations",3.4804,2
"people.profession.people_with_this_profession",3.4461,20
"cvg.cvg_developer.game_versions_developed",3.3889,31
"measurement_unit.power_unit.measurement_system",3.3651,7
"measurement_unit.measurement_system.radiance_units",3.3639,13
"cvg.video_game_soundtrack.video_game",3.1585,6
"computer.computer_manufacturer_brand.computer_lines",3.1535,1
"religion.monastery.religion",3.1116,1
"measurement_unit.inductance_unit.measurement_system",3.0205,7
"measurement_unit.measurement_system.radioactivity_units",2.9582,14
"amusement_parks.ride.ride_type",2.9387,2
"people.person.languages",2.8931,3
"measurement_unit.measurement_system.charge_units",2.8446,7
"broadcast.producer.produces",2.8436,1
"amusement_parks.ride.inversions",2.7924,1
"aviation.aircraft_designer.aircraft_models_designed",2.6935,1
"cvg.computer_videogame.versions",2.6727,32
"sports.sports_team.location",2.6513,2
"measurement_unit.measurement_system.electric_flux_density_units",2.6108,6
"architecture.landscape_project.construction_cost",2.6077,5
"amusement_parks.ride.opened",2.5843,6
"measurement_unit.dimension.si_base_unit",2.5627,30
"cvg.cvg_developer.games_developed",2.5600,37
"measurement_unit.magnetic_field_strength_unit.measurement_system",2.5419,4
"business.product_line.category",2.4417,1
"amusement_parks.ride_type.rides",2.3216,2
"business.product_line.products",2.2602,1
"computer.file_format.format_creator",2.1358,16
"digicams.digital_camera.color_filter_array_type",2.0930,1
"cvg.cvg_designer.games_designed",2.0771,29
"measurement_unit.measurement_system.energy_density_units",2.0539,6
"biology.animal_breed.place_of_origin",1.9027,16
"fictional_universe.fictional_language.where_spoken",1.8517,1
"measurement_unit.measurement_system.magnetic_flux_density_units",1.6078,6
"people.person.nationality",1.5506,5
"people.deceased_person.place_of_death",1.4960,1
"cvg.computer_game_mod.game_modded",1.3985,21
"biology.genome.taxon",1.3863,1
"fictional_universe.character_occupation.characters_with_this_occupation",1.3592,1
"broadcast.content.producer",1.3405,1
"astronomy.star.planet_s",1.3155,2
"religion.monastery.religious_order",1.2824,1
"exhibitions.exhibition.exhibition_types",1.2151,1
"sports.sports_team_captain.team",1.1966,1
"automotive.privately_owned_vehicle.model",1.0867,1
"cvg.computer_videogame.soundtracks",1.0474,32
"fictional_universe.medical_condition_in_fiction.characters_with_this_condition",0.9339,1
"radio.radio_subject.programs_with_this_subject",0.9245,33
"spaceflight.rocket_engine_status.rocket_engines",0.6971,1
"religion.place_of_worship.religion",0.6777,1
"media_common.quotation.spoken_by_character",0.4075,2
"astronomy.celestial_object.absolute_magnitude",0.1215,1
"religion.religion.practices",0.0579,18
"cvg.computer_game_region.versions_released_in_this_region",-0.0105,22
"exhibitions.type_of_exhibition.exhibitions_of_this_type",-0.0499,1
"cvg.computer_videogame.processors_supported",-0.1192,15
"book.audio_book_reader.audio_books_read",-0.1539,7
"cvg.cvg_platform_family.platforms",-0.2023,6
"religion.type_of_place_of_worship.religion",-0.2496,1
"architecture.venue.capacity",-0.3287,6
"religion.religious_practice.practice_of",-0.5291,16
"book.book_edition.place_of_publication",-0.5519,1
"astronomy.orbital_relationship.orbital_order",-1.0800,6
"astronomy.celestial_object.cosmological_distance",-1.3044,1
"computer.software.languages_used",-1.7983,15
"cvg.computer_videogame.expansions",-2.1564,16
"astronomy.constellation_bordering_relationship.constellations",-2.2283,1
"astronomy.orbital_relationship.orbital_period",-2.5224,2
"book.written_work.author",-3.1477,2
"astronomy.orbital_relationship.mean_orbital_speed",-3.5358,5
"astronomy.orbital_relationship.inclination",-4.2963,2
"astronomy.constellation.bordering_constellations_new",-4.8366,1
"architecture.structure.construction_started",-5.1012,1
"architecture.structure.destruction_date",-6.4369,1
